Search Keyword,Job ID,Title,Link,Budget,Posted Time,Skills,Proposals,Client Location,Short Description
AI Automations,021996305630846623121,"Automation Engineer Needed: Expertise in n8n, Make.com, and VAPI",https://www.upwork.com/jobs/span-class-highlight-Automation-span-Engineer-Needed-Expertise-n8n-Make-com-and-VAPI_~021996305630846623121/?referrer_url_path=/nx/search/jobs/,Hourly,Posted 12 minutes ago,,,,"Summary
Automation Agency – Long-Term Partnership
Project Type: Ongoing Contract (Long-Term Engagement)
Experience Level: Expert / Agency Preferred
Compensation: Per-Project Basis (Negotiated Each Tim"
AI Automations,021996303621322582035,AI/Enrichment Specialist for Data Optimization,https://www.upwork.com/jobs/span-class-highlight-span-Enrichment-Specialist-for-Data-Optimization_~021996303621322582035/?referrer_url_path=/nx/search/jobs/,Hourly,Posted 20 minutes ago,,,,"We are seeking an experienced AI/Enrichment Specialist to enhance our data processes. The ideal candidate will perform bulk enrichment using AI, title classification, tagging, research automation, dat"
AI Automations,021996303592482615471,Automation & CRM Tech VA Needed (Airtable + Zapier + MailerLite Integration),https://www.upwork.com/jobs/span-class-highlight-Automation-span-amp-CRM-Tech-Needed-Airtable-Zapier-MailerLite-Integration_~021996303592482615471/?referrer_url_path=/nx/search/jobs/,$440,Posted 20 minutes ago,,,,"our Responsibilities Will Include:
1. Building Automations

You’ll create flows that connect:

MailerLite forms

Airtable databases

Zapier automation

SMS notifications (TextMagic/Twilio)

Examples:
"
AI Automations,021996302046613088275,SaaS  Landing Page Ilustration,https://www.upwork.com/jobs/SaaS-Landing-Page-Ilustration_~021996302046613088275/?referrer_url_path=/nx/search/jobs/,$100,Posted 21 minutes ago,,,,"Project Brief: Vector Illustration Set (8 pieces)

We need eight custom vector illustrations to visually represent the core features of our Energy Consultancy & Software company.
All illustrations mus"
AI Automations,021996303251436997650,Amazon PPC Automation Software SaaS (Seller Central API + AI + Auto-Bidding Engine),https://www.upwork.com/jobs/Amazon-PPC-span-class-highlight-Automation-span-Software-SaaS-Seller-Central-API-span-class-highlight-span-Auto-Bidding-Engine_~021996303251436997650/?referrer_url_path=/nx/search/jobs/,$5,Posted 21 minutes ago,,,,"We are looking for a highly experienced developer or team to build a full Amazon PPC Automation SaaS platform.

The software must connect directly to Amazon Seller Central via the Advertising API, pul"
AI Automations,021996301274701208977,Develop AI-Powered Speech-to-Text Meditation Avatar Web App,https://www.upwork.com/jobs/Develop-span-class-highlight-span-Powered-Speech-Text-Meditation-Avatar-Web-App_~021996301274701208977/?referrer_url_path=/nx/search/jobs/,"$1,500",Posted 29 minutes ago,,,,We are seeking a talented developer to create a web application featuring an AI-driven speech-to-text meditation avatar. This innovative app will utilize advanced AI technology to enable users to medi
AI Automations,021996301019138071953,Sales Rep / SDR for SaaS (Email Marketing Platform) — Warm Leads + Product Demos + Light Onboarding,https://www.upwork.com/jobs/Sales-Rep-SDR-for-SaaS-Email-Marketing-Platform-Warm-Leads-Product-Demos-Light-Onboarding_~021996301019138071953/?referrer_url_path=/nx/search/jobs/,$30,Posted 30 minutes ago,,,,"We’re looking for a sharp, reliable sales rep to handle inbound sales calls and demos for our SaaS platform, Hoppy Copy — an AI-powered email marketing platform used by consultants, coaches, service-b"
AI Automations,021996300558000140463,Social Media Automation Using AI and n8n,https://www.upwork.com/jobs/Social-Media-span-class-highlight-Automation-span-Using-span-class-highlight-span-and-n8n_~021996300558000140463/?referrer_url_path=/nx/search/jobs/,$10,Posted 32 minutes ago,,,,"We are seeking a skilled freelancer to implement AI automation strategies using n8n for our social media management. The ideal candidate will design workflows to automate posts, engagement responses, "
AI Automations,021996298089014074769,Customer Support & Success,https://www.upwork.com/jobs/Customer-Support-Success_~021996298089014074769/?referrer_url_path=/nx/search/jobs/,$10,Posted 42 minutes ago,,,,"Hey! 

We're Hoppy Copy, an AI email marketing company (hoppycopy.co) that automates newsletter content and publishing for clients. We're looking for an experienced Customer Support / Success speciali"
AI Automations,021996297897204986031,Botpress Chatbot Developer + Automation Expert (Website Chatbot),https://www.upwork.com/jobs/Botpress-Chatbot-Developer-span-class-highlight-Automation-span-Expert-Website-Chatbot_~021996297897204986031/?referrer_url_path=/nx/search/jobs/,$2,Posted 42 minutes ago,,,,"We are creating a professional website chatbot for an IT solutions company.
The chatbot must be built in Botpress v12 and include:

Multiple service flows (Cloud, Cybersecurity, Microsoft 365, Google "
AI Automations,021996297559521503251,AI Automation Setup Specialist (Freelancer),https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-Setup-Specialist-Freelancer_~021996297559521503251/?referrer_url_path=/nx/search/jobs/,$2,Posted 45 minutes ago,,,,"Description:
I run a business helping small businesses automate repetitive admin tasks using AI and workflow automation tools. I’m looking for a freelance automation specialist to implement workflow a"
AI Automations,021996250905309294767,Senior Automation Engineer (n8n + Airtable + Go High Level +  OpenAI + WhatsApp API),https://www.upwork.com/jobs/Senior-span-class-highlight-Automation-span-Engineer-n8n-Airtable-High-Level-Open-span-class-highlight-span-WhatsApp-API_~021996250905309294767/?referrer_url_path=/nx/search/jobs/,$2,Posted 50 minutes ago,,,,"I’m building a scalable, productized **AI Marketing Ecosystem for SMBs** — a plug-and-play system designed to manage:

- AI appointment booking
- WhatsApp/IG automation
- Missed-call recovery
- Reacti"
AI Automations,021994373597551681749,GoHighLevel Automation & Tech Setup Expert for Info-Business Funnels (Long-Term | Fixed or Hourly),https://www.upwork.com/jobs/GoHighLevel-span-class-highlight-Automation-span-amp-Tech-Setup-Expert-for-Info-Business-Funnels-Long-Term-Fixed-Hourly_~021994373597551681749/?referrer_url_path=/nx/search/jobs/,$25,Posted 6 days ago,,,,"JOB DESCRIPTION:
I’m looking for a high-level GoHighLevel automation & tech specialist for long-term collaboration across two brands (construction + online education).
This is not a basic funnel build"
AI Automations,021996294979361843219,Integration of Marbalism with Microsoft 365 Email/Outlook,https://www.upwork.com/jobs/Integration-Marbalism-with-Microsoft-365-Email-Outlook_~021996294979361843219/?referrer_url_path=/nx/search/jobs/,$2,Posted 55 minutes ago,,,,We are seeking a skilled freelancer to integrate Marbalism with Microsoft 365 Email and Outlook. The ideal candidate will troubleshoot and resolve any issues related to Microsoft 365 and GoDaddy email
AI Automations,021996294768406826002,Automate Daily Construction Site Reports Using OpenAI Vision and cPanel Images,https://www.upwork.com/jobs/span-class-highlight-Automate-span-Daily-Construction-Site-Reports-Using-Open-span-class-highlight-span-Vision-and-cPanel-Images_~021996294768406826002/?referrer_url_path=/nx/search/jobs/,$30,Posted 56 minutes ago,,,,"We already have thousands of construction-site images automatically uploaded into cPanel each day. We need a developer to build a lightweight script that samples these images, sends them to the OpenAI"
AI Automations,021996292593138479279,N8N expert to build workflows,https://www.upwork.com/jobs/N8N-expert-build-workflows_~021996292593138479279/?referrer_url_path=/nx/search/jobs/,$34,,,,,"Hello.

Looking for a skilled N8N automation specialist. Quote me a fixed price that include revisions to make sure workflow is functioning correctly. The flow is in article writing and wordpress uplo"
AI Automations,021996290694449990674,GoHighLevel Expert Needed,https://www.upwork.com/jobs/GoHighLevel-Expert-Needed_~021996290694449990674/?referrer_url_path=/nx/search/jobs/,"$1,000",,,,,"Technical Setup Needed

Connect and configure my domain

Install and configure the chat widget properly

Build the full backend structure

Set up calendars, workflows, tags, pipelines

Create 3-tier o"
AI Automations,021996289838952884243,Experienced Video Editor for Dark Psychology Explainer Content,https://www.upwork.com/jobs/Experienced-Video-Editor-for-Dark-Psychology-Explainer-Content_~021996289838952884243/?referrer_url_path=/nx/search/jobs/,$15,,,,,"Hi there!

We are a YouTube Automation team building a new channel focused on evidence-based dark psychology explainer content. We are looking for a talented, hard-working, and experienced Video Edito"
AI Automations,021996288162867062803,Full Stack Developer Needed,https://www.upwork.com/jobs/Full-Stack-Developer-Needed_~021996288162867062803/?referrer_url_path=/nx/search/jobs/,$15,,,,,We’re looking for a full-stack developer to join our team and help build key features for a production application used by a talent agency. You’ll be working closely with two other developers and will
AI Automations,021996288028994964498,Part-time ecommerce bookkeeper/executive assistant,https://www.upwork.com/jobs/Part-time-ecommerce-bookkeeper-executive-assistant_~021996288028994964498/?referrer_url_path=/nx/search/jobs/,$2,,,,,"COMPANY BACKGROUND

We are a small but tight-knit team running ecommerce operations for large brands in the US. Mutual trust and hard work are the foundation of everything we do. We take very good car"
AI Automations,021996285044407929874,Urgent Meeting Request – Conversational AI in GoHighLevel,https://www.upwork.com/jobs/Urgent-Meeting-Request-Conversational-span-class-highlight-span-GoHighLevel_~021996285044407929874/?referrer_url_path=/nx/search/jobs/,Hourly,,,,,We are looking for an experienced developer or AI specialist who can create and implement conversational AI solutions within Go High Level. The ideal candidate should have hands-on experience building
